,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
2011,5,66.74572245,26.32508121,9.941530977,5.51853872,,
2011,6,67.17549993,25.73169494,10.42083727,5.476826337,,
2011,7,67.19223093,25.39874751,10.09171841,5.437269265,,
2011,8,67.53227527,25.43371777,9.529745337,5.409581077,,
2011,9,68.14731997,24.96983455,9.385484875,4.889424157,,
2011,10,68.96987258,23.84273845,9.546012263,4.383797635,,
2011,11,70.09234489,23.49234755,9.755584556,4.382338057,,
2011,12,71.3272132,23.7933168,9.833810442,4.591951727,,
2012,1,71.780991,23.96130442,9.970673216,4.715409886,,
2012,2,71.062683,23.27438411,10.23560143,3.980798473,,
2012,3,69.872332,22.42089122,10.7047116,3.060316301,,
2012,4,69.07473941,22.25088147,10.82666856,2.623456593,,
2012,5,68.86077417,22.45240716,10.32901766,2.268029076,,
2012,6,68.76198604,23.0977831,10.18337351,2.023862314,,
2012,7,68.82289778,23.83309617,10.38140778,1.898733726,,
2012,8,69.16327047,24.5201496,10.77436608,1.942043507,,
2012,9,69.26899458,25.37228451,11.58660025,2.009979494,,
2012,10,69.02477971,26.22745296,12.37520845,1.850249322,,
2012,11,68.34014594,27.49482098,12.9899572,1.697650089,,
2012,12,67.1939966,29.1308841,13.34637589,1.523054265,,
2013,1,66.28972229,30.12084646,13.95804478,1.246251625,,
2013,2,66.31909521,30.53744616,14.39486469,1.094256732,,
2013,3,66.97826638,30.67161308,13.96771517,0.983543659,,
2013,4,67.969156,30.58460681,14.16641884,0.821966117,,
2013,5,67.46214981,30.56884945,14.55613031,0.694970321,,
2013,6,66.01080112,30.63637033,14.10501627,0.660236741,,
2013,7,64.77849455,30.85512737,13.79004324,0.717199405,,
2013,8,63.25328318,30.84404259,13.48446934,0.691847449,,
2013,9,62.54704815,29.92339591,12.82352801,0.644957663,,
2013,10,62.61198546,28.78838146,12.77817414,0.693837962,,
2013,11,62.54435528,27.36232628,12.89545657,0.675699031,,
2013,12,62.0687806,25.33452269,12.53527471,0.617925384,,
2014,1,61.98265879,23.90700926,12.04798697,0.636819052,,
2014,2,61.89523794,23.30183921,11.4322941,0.679798245,,
2014,3,61.68874768,22.90072486,11.30288361,0.665442624,,
2014,4,60.75243591,22.51747412,10.72194365,0.665384413,,
2014,5,60.39902444,22.77010885,9.78800277,0.696186869,,
2014,6,61.01359405,23.29102528,9.481152602,0.739927823,,
2014,7,61.49977831,23.17829627,9.301336528,0.730574177,,
2014,8,61.99907232,22.34111765,9.191535404,0.701404123,,
2014,9,61.4617374,22.01941199,9.119796533,0.656117568,,
